,0
bir,1540
ve,946
bu,837
gibi,790
ne,447
kadın,406
de,379
da,371
çok,355
seni,344
için,338
o,335
daha,330
kadar,322
senin,306
sen,285
var,269
erkek,244
her,216
sikeyim,216
ile,204
sikerim,204
amına,191
mi,182
olur,181
yok,181
kız,170
adam,169
olarak,169
bile,167
en,165
ben,160
Kadın,160
ki,158
olmaz,157
ama,156
mı,152
dediğin,147
değil,136
sana,134
kadınlar,130
iyi,127
sonra,127
olan,121
orospu,117
ananın,109
ya,105
bi,103
böyle,100
nasıl,99
Erkek,97
Senin,92
insan,91
kadının,91
çocuğu,91
benim,91
Bu,91
diye,89
karı,89
hiç,88
iki,88
ancak,87
aynı,86
Sen,85
kendi,84
bana,82
öyle,81
göre,81
yer,78
götüne,78
büyük,76
olduğu,76
ise,76
zaman,73
senden,71
Kadınlar,71
tek,71
şey,68
ev,68
hem,68
iş,68
başka,67
biri,66
hep,66
mısın,66
çingene,65
sadece,64
işi,63
olduğunu,62
güzel,62
artık,62
erkekler,61
bak,60
şu,60
yapar,60
tüm,59
fazla,59
son,58
mu,58
değildir,58
onun,58
onu,58
önce,58
beni,58
uzun,57
kimse,57
olsun,57
suriyeliler,57
belli,57
veya,57
devam,56
gün,56
olsa,56
oldu,56
siktiğimin,55
yeni,55
ananı,55
içinde,55
bütün,55
biz,55
amını,54
neden,54
misin,52
kendini,52
bunu,52
vardır,52
az,52
hiçbir,52
tam,52
bizim,51
Türk,51
çocuk,50
köpek,49
olsan,49
olmak,48
gibisin,48
ilk,48
gavur,48
mal,47
olacak,47
geldi,47
başına,47
bok,47
burada,46
önemli,46
Bir,46
evladı,46
koyayım,46
Seni,46
evde,46
pis,46
diğer,46
yerde,45
ilgili,45
eder,45
kabul,45
çünkü,45
Suriyeliler,45
insanlar,44
Kız,43
boş,43
kürt,43
yine,43
git,43
tarafından,42
biraz,42
kafalı,42
sahip,41
herif,41
erkeğin,41
üç,41
işe,41
yapma,40
Erkekler,40
yemek,40
küçük,40
doğru,40
sik,39
girsin,39
para,39
bunun,39
Arap,39
türk,39
tom,38
şimdi,38
hepsi,38
onlar,38
lan,38
adamın,37
aklı,37
gelir,37
sende,37
ona,37
yanında,37
yoktur,37
söz,37
ediyor,36
olmuş,36
siksin,36
istemiyorum,35
bunlar,35
karşı,35
teşekkür,35
bugün,35
geri,35
oğlu,35
buna,35
ederim,35
kadınların,35
göt,35
ayrıca,35
eğitim,34
olmayan,34
et,34
zaten,33
yere,33
herkes,33
Çok,33
varsa,32
Kürt,32
ağzına,32
arasında,32
yerine,32
eden,31
sike,31
hayvan,31
kızı,31
yüzünden,31
arap,31
kadından,31
olamaz,31
olabilir,30
Gavur,30
çocukları,30
süre,30
su,30
siz,30
sokarım,30
uygun,30
değilsin,30
pek,30
at,29
gelen,29
insansın,29
veren,29
yani,29
pezevenk,29
Ermeni,29
Sana,28
aslında,28
ediyorum,28
yıl,28
sokayım,28
eve,28
konuşma,28
Çingene,28
hareket,28
araba,28
be,28
genel,27
mü,27
şekilde,27
gerek,27
orada,27
dedi,27
nerede,27
hemen,27
suratlı,27
yüksek,27
Kadının,27
yapan,27
hizmet,27
al,26
olması,26
işte,26
oldukça,26
baban,26
üzerine,26
kan,26
siker,26
am,26
yapılan,26
Ne,26
zenciler,26
zenci,26
etmek,25
kadına,25
musun,25
farklı,25
kafa,25
anca,25
götünü,25
nedir,25
düşük,25
Yahudi,25
eski,25
aptal,25
birçok,25
el,25
beyin,25
olup,25
babanın,25
Karı,25
etti,25
zor,24
üzerinde,24
beyaz,24
çıktı,24
uzak,24
kötü,24
ol,24
suriyeli,24
güven,24
asla,24
gerçekten,24
bizi,24
başladı,23
kolay,23
türkiye,23
kim,23
iyice,23
dışarı,23
birlikte,23
kısa,23
kez,23
müslüman,23
kişi,23
dost,23
üstüne,23
yardım,23
kısmı,23
kesin,23
geliyor,23
özellikle,23
laf,23
ister,23
orospunun,23
izin,22
gayet,22
dünya,22
hak,22
çirkin,22
avrat,22
an,22
eli,22
kaç,22
yapmak,22
sıçayım,22
hayır,22
sürekli,22
yahudi,22
türlü,22
hangi,22
kadınlara,22
Türkler,22
ermeni,22
karar,22
vardı,22
götünden,22
amı,22
sikiyim,22
adamı,21
koca,21
salak,21
beyinli,21
zamanda,21
içine,21
hafta,21
siktir,21
koyar,21
ortaya,21
derler,21
buraya,21
ağzını,21
siktiğim,21
altında,21
mülteciler,21
ters,21
gece,21
dünyanın,21
size,21
gerekli,21
yarrak,21
yeri,21
hakkında,21
kendine,21
amcık,21
yoksa,20
sorun,20
kızım,20
yedi,20
elinin,20
yaptığı,20
geçen,20
herkesin,20
Adam,20
fakat,20
yapmaz,20
ağızlı,20
O,20
